POST_NUMBER;RIVER;POST_STATION_NAME;LON;LAT;SIZE;YEAR_BUILT;BUILT_BY;PROVINCE;DISTRICT;SUBDISTRICT;VILLAGE;SUBVILLAGE;YEAR_RANGE;DATA_COUNT
02-108-01-01;CIBARENO;CIBARENO-CIAWI;106.43333333333334;-6.825833333333333;217.7;1982;PHBD;JAWA BARAT;LEBAK;BAYAH;CIKADU;CIAWI;1990 - 2013;24
02-016-06-01;CITARUM;CIBEET-SIPHON;;;659.2;2009; BBWS CITARUM;JAWA BARAT;KARAWANG;TELUK JAMBE;KARANG MULYA;KARANG MULYA;2013;3
02-016-02-05;CITARUM;CIJALUPANG-PEUNDEUY;107.82388888888889;-6.9944444444444445;20.7;1984;PUSLITBANG PENGAIRAN;JAWA BARAT;BANDUNG;CIKANCUNG;HEGARMANAH;PEUNDEUY ;1984 - 2013;22
02-016-04-07;CITARUM;CIGULUNG-MARIBAYA;107.64861111111112;-6.821666666666666;36.8;1952;DPMA;JAWA BARAT;BANDUNG;LEMBANG;CIKIDANG;MARIBAYA;1971 - 2013;57
02-016-04-08;CITARUM;CIKAPUNDUNG-GANDOK;107.60472222222222;-6.882777777777778;90.4;1957;DPMA;JAWA BARAT;BANDUNG;COBLONG;GANDOK SARI;GANDOK SARI;1970 - 2013;58
02-026-00-00;CIMANUK;CIKAMIRI-POGOR;;;101;2005;PI PWS CIMANUK-CISANGGARUNG;JAWA BARAT;GARUT;SAMARANG;CINTARASA;CINTARASA;2011 - 2015;5
02-092-03-03;CITANDUY;CIJOLANG-BEBEDAHAN;108.55666666666666;-7.2972222222222225;473.15;1988;PROYEK CITANDUY;JAWA BARAT;CIAMIS;CISAGA;BAGUNHARJA;BEBEDAHAN;1997 - 2013;9
02-092-04-07;CITANDUY;CIJOLANG-CIBALI;108.37388888888889;-7.062777777777778;9.6;1986;PROY. REBOISASI;JAWA BARAT;CIAMIS;PANAWANGAN;SUNDAPAINGAN;SUNDAPAINGAN;1999 - 2011;9
02-096-01-05;CIPATUJANG;CIJALU-CIAWITALI;108.03333333333333;-7.609722222222222;91.6;1992;DPUP JABAR;JAWA BARAT;TASIKMALAYA;CIPATUJAH;TEMBONG;CIAWITALI;1984 - 2013;24
02-097-01-01;CIKAENGAN;CIKAENGAN-SINGAJAYA;107.91222222222223;-7.48;29;1986;PSDA CIWULAN;JAWA BARAT;GARUT;SINGAJAYA;CIKAENGAN;CIKAENGAN;2011 - 2013;4
02-016-02-02;CITARUM;CIKERUH-CIKUDA;107.77722222222222;-6.926944444444445;54.2;1997;PROYEK KALIBRASI BANG.PSDA;JAWA BARAT;SUMEDANG;TANJUNGSARI;CIKUDA;CIKUDA;1984 - 2013;26
02-016-02-06;CITARUM;CIKERUH-BABAKAN_BANDUNG;107.78083333333333;-6.916666666666667;48;1984;PUSLITBANG PENGAIRAN;JAWA BARAT;SUMEDANG;TANJUNGSARI;SUKAMANDIRI;SUKAMANDIRI;1984 - 1995;11
02-016-04-05;CITARUM;CIKAPUNDUNG-MARIBAYA;107.6563888888889;-6.842499999999999;98.8;1952;DPMA;JAWA BARAT;BANDUNG;LEMBANG;CIKIDANG;MARIBAYA;1970 - 2013;61
02-016-04-06;CITARUM;CIKAPUNDUNG-PASIRLUYU;107.63333333333334;-6.166666666666667;76;1984;PSAPB;JAWA BARAT;BANDUNG;LENGKONG;CIJAGRA;PASIRLUYU;1989 - 2013;9
02-016-03-02;CITARUM;CIKERUH-JATINANGOR;107.3;-6.183333333333334;;;;JAWA BARAT;BANDUNG;JATINANGOR;JATINANGOR;JATINANGOR;2013;3
02-016-20-03;CITARUM;CIKUNDUL-CIKERTA;107.21111111111111;-6.7347222222222225;173.4;1986;PLTA CIRATA;JAWA BARAT;CIANJUR;CIKALONG KULON;CINANGSI;TARIK KOLOT;1986 - 2011;12
